Country,Year,Count,,
SVK,1990,696,,
SVN,1982,713,,
MLT,1988,0,,
ISL,2013,223,,
LTU,2015,150,,
ESP,2009,225,,
ISR,2011,115,,
FIN,2009,174,,
ISL,2001,236,,
ITA,2001,247,,
GBR,2012,243,,
MNE,1998,367,,
HRV,2013,79,,
SVK,1980,428,,
MLT,2004,0,,
MNE,2007,167,,
UZB,1992,237,,
POL,2003,1,,
MLT,2000,0,,
MKD,1993,570,,
EST,2015,354,,
GRC,1977,43,,
EST,1994,1396,,
POL,2004,1,,
ESP,2006,210,,
GEO,1992,699,,
EST,1980,1599,,
FIN,2006,182,,
MNE,2004,227,,
SVN,1999,497,,
FIN,2015,170,,
SVN,1983,696,,
MDA,1999,725,,
ITA,1995,256,,
ROU,2010,480,,
MKD,2016,185,,
FRA,2013,277,,
SWE,1993,290,,
ISR,2013,114,,
GEO,2003,187,,
POL,1998,1,,
EST,2001,923,,
HUN,1985,630,,
TJK,1994,122,,
UKR,1986,1471,,
SWE,2002,348,,
MKD,2007,268,,
FIN,1996,172,,
ITA,1987,340,,
GRC,1993,121,,
ESP,2003,181,,
MDA,1993,970,,
NLD,1995,110,,
SVK,1997,353,,
ITA,1983,377,,
MLT,2003,0,,
ROU,2002,1176,,
MDA,1997,839,,
HUN,2009,448,,
ISR,1984,192,,
ROU,1992,2657,,
KAZ,2006,433,,
RUS,2003,1157,,
ISL,2000,229,,
LTU,2010,228,,
MKD,1991,665,,
HUN,2014,357,,
HUN,1980,544,,
UKR,1992,1362,,
ISR,1988,161,,
MLT,1994,0,,
TKM,2002,196,,
SVK,2007,206,,
HUN,1983,618,,
HUN,2007,449,,
GBR,2007,275,,
ITA,1998,260,,
ITA,1986,351,,
UKR,2011,201,,
SWE,1977,328,,
HUN,1987,672,,
NOR,2014,238,,
KGZ,1983,545,,
HRV,1997,181,,
GBR,1991,228,,
SVK,1983,468,,
ISR,2006,134,,
POL,2013,2,,
ISR,1992,149,,
ROU,2007,639,,
IRL,2015,0,,
KAZ,1992,1020,,
POL,2010,2,,
SVK,2008,189,,
TKM,1992,283,,
SVK,2014,136,,
KAZ,2009,317,,
RUS,2015,385,,
